Chinese,Pinyin,Meaning_English,Han_Viet,Nghia_Tieng_Viet,Cach_dung_trong_cau
赶紧,gǎn jǐn,hurriedly,cảm khẩn,gấp/vội vàng,赶紧去。Đi gấp.
赶快,gǎn kuài,at once,cảm khoái,nhanh lên,赶快走。Đi nhanh.
干活儿,gàn huó r,to work,cán hoạt,làm việc,出去干活儿。Ra ngoài làm việc.
钢铁,gāng tiě,steel,cương thiết,thép,钢铁工业。Công nghiệp thép.
高档,gāo dàng,superior quality,cao đẳng,cao cấp/hạng sang,高档商品。Hàng cao cấp.
高速,gāo sù,high speed,cao tốc,cao tốc/tốc độ cao,高速公路。Đường cao tốc.
搞,gǎo,to do,cảo,làm/tiến hành,搞活动。Tổ chức hoạt động.
告别,gào bié,to leave,cáo biệt,từ biệt/chia tay,告别朋友。Chia tay bạn bè.
胳膊,gē bo,arm,cáp bác,cánh tay,举胳膊。Giơ tay.
鸽子,gē zi,pigeon,cáp tử,chim bồ câu,白鸽子。Chim bồ câu trắng.
隔壁,gé bì,next door,cách bích,bên cạnh/hàng xóm,隔壁邻居。Hàng xóm bên cạnh.
格外,gé wài,especially,cách ngoại,đặc biệt/hơn thường,格外高兴。Đặc biệt vui.
革命,gé mìng,revolution,cách mệnh,cách mạng,革命战争。Chiến tranh cách mạng.
个别,gè bié,individual,cá biệt,cá biệt,个别情况。Trường hợp cá biệt.
个人,gè rén,individual,cá nhân,cá nhân,个人意见。Ý kiến cá nhân.
个性,gè xìng,individuality,cá tính,cá tính,有个性。Có cá tính.
各自,gè zì,each,các tự,mỗi người/riêng,各自回家。Mỗi người về nhà.
根,gēn,root,căn,rễ/gốc,树根。Rễ cây.
根本,gēn běn,fundamental,căn bản,căn bản/cơ bản,根本问题。Vấn đề căn bản.
更加,gèng jiā,more,canh gia,càng thêm,更加努力。Càng thêm nỗ lực.
公布,gōng bù,to announce,công bố,công bố,公布结果。Công bố kết quả.
公开,gōng kāi,public,công khai,công khai,公开秘密。Công khai bí mật.
公平,gōng píng,fair,công bình,công bằng,很公平。Rất công bằng.
公寓,gōng yù,apartment building,công dụ,chung cư,住公寓。Ở chung cư.
公元,gōng yuán,CE,công nguyên,công nguyên,公元前。Trước công nguyên.
公主,gōng zhǔ,princess,công chúa,công chúa,美丽公主。Công chúa xinh đẹp.
工厂,gōng chǎng,factory,công xưởng,nhà máy,工厂工人。Công nhân nhà máy.
工程师,gōng chéng shī,engineer,công trình sư,kỹ sư,建筑工程师。Kỹ sư xây dựng.
工人,gōng rén,worker,công nhân,công nhân,工人阶级。Giai cấp công nhân.
工业,gōng yè,industry,công nghiệp,công nghiệp,工业发展。Phát triển công nghiệp.
功夫,gōng fu,skill,công phu,công phu/võ thuật,中国功夫。Võ thuật Trung Quốc.
功能,gōng néng,function,công năng,chức năng,手机功能。Chức năng điện thoại.
贡献,gòng xiàn,to contribute,cống hiến,cống hiến/đóng góp,做贡献。Cống hiến.
沟通,gōu tōng,to join,câu thông,giao tiếp/kết nối,沟通交流。Giao tiếp trao đổi.
构成,gòu chéng,to constitute,cấu thành,cấu thành,构成威胁。Cấu thành nguy hiểm.
姑姑,gū gu,paternal aunt,cô cô,cô (con gái bác),我姑姑。Cô tôi.
姑娘,gū niang,girl,cô nương,cô gái,漂亮姑娘。Cô gái xinh đẹp.
古代,gǔ dài,ancient times,cổ đại,cổ đại/thời cổ,古代历史。Lịch sử cổ đại.
古典,gǔ diǎn,classical,cổ điển,cổ điển,古典音乐。Âm nhạc cổ điển.
古老,gǔ lǎo,ancient,cổ lão,cổ kính/cổ xưa,古老建筑。Kiến trúc cổ.
股票,gǔ piào,share,cổ phiếu,cổ phiếu,买股票。Mua cổ phiếu.
鼓舞,gǔ wǔ,heartening,cổ vũ,cổ vũ/khích lệ,鼓舞人心。Cổ vũ lòng người.
骨头,gǔ tou,bone,cốt đầu,xương,骨头汤。Canh xương.
固定,gù dìng,fixed,cố định,cố định,固定时间。Thời gian cố định.
固体,gù tǐ,solid,cố thể,chất rắn,固体状态。Trạng thái rắn.
雇佣,gù yōng,to employ,cố dung,thuê mướn,雇佣工人。Thuê công nhân.
挂号,guà hào,to register,quải hiệu,đăng ký/gửi bảo đảm,挂号信。Thư bảo đảm.
乖,guāi,obedient,quải,ngoan,很乖。Rất ngoan.
拐弯,guǎi wān,to go round a curve,quải loan,rẽ/quẹo,往右拐弯。Rẽ phải.
怪不得,guài bu de,no wonder,quái bất đắc,bảo sao/không lạ gì,怪不得！Bảo sao!
关闭,guān bì,to close,quan bế,đóng lại/tắt,关闭窗户。Đóng cửa sổ.
关怀,guān huái,care,quan hoài,quan tâm/chăm sóc,关怀备至。Quan tâm chu đáo.
官,guān,official,quan,quan chức/viên chức,当官。Làm quan.
观察,guān chá,to observe,quan sát,quan sát,观察现象。Quan sát hiện tượng.
观点,guān diǎn,point of view,quan điểm,quan điểm,不同观点。Quan điểm khác nhau.
观念,guān niàn,notion,quan niệm,quan niệm,思想观念。Quan niệm tư tưởng.
管子,guǎn zi,tube,quản tử,ống,水管子。Ống nước.
罐头,guàn tou,tin,quán đầu,đồ hộp,吃罐头。Ăn đồ hộp.
冠军,guàn jūn,champion,quán quân,quán quân/vô địch,获得冠军。Giành quán quân.
光滑,guāng hua,glossy,quang hoạt,nhẵn/trơn,很光滑。Rất trơn.
光临,guāng lín,Welcome,quang lâm,quang lâm/đến thăm,欢迎光临。Hoan nghênh quang lâm.
光明,guāng míng,light,quang minh,sáng sủa/tươi sáng,前途光明。Tương lai tươi sáng.
光盘,guāng pán,compact disc,quang bàn,đĩa quang/CD,刻光盘。Ghi đĩa.
光荣,guāng róng,honor and glory,quang vinh,vinh quang/vẻ vang,很光荣。Rất vẻ vang.
广场,guǎng chǎng,public square,quảng trường,quảng trường,天安门广场。Quảng trường Thiên An Môn.
广大,guǎng dà,vast,quảng đại,rộng lớn/quảng đại,广大群众。Quần chúng rộng lớn.
广泛,guǎng fàn,extensive,quảng phiếm,rộng rãi/phổ biến,广泛应用。Ứng dụng rộng rãi.
规矩,guī ju,compass and square,qui củ,quy củ/nề nếp,守规矩。Giữ quy củ.
规律,guī lǜ,rule,qui luật,quy luật,自然规律。Quy luật tự nhiên.
规模,guī mó,scale,qui mô,quy mô,大规模。Quy mô lớn.
规则,guī zé,rule,qui tắc,quy tắc,遵守规则。Tuân thủ quy tắc.
柜台,guì tái,sales counter,quỹ đài,quầy,服务柜台。Quầy phục vụ.
滚,gǔn,to boil,cổn,lăn/sôi,滚开水。Nước sôi.
锅,guō,pot,qua,nồi/chảo,炒锅。Chảo xào.
国籍,guó jí,nationality,quốc tịch,quốc tịch,中国国籍。Quốc tịch Trung Quốc.
国庆节,Guó qìng jié,National Day,quốc khánh tiết,ngày quốc khánh,庆祝国庆节。Kỷ niệm ngày Quốc khánh.
果实,guǒ shí,fruit,quả thực,quả/trái cây,丰收果实。Quả thu hoạch.
过分,guò fèn,excessive,quá phận,quá đáng,太过分。Quá đáng.
过敏,guò mǐn,to be allergic,quá mẫn,dị ứng,皮肤过敏。Da dị ứng.
过期,guò qī,to be overdue,quá kỳ,quá hạn,过期食品。Thực phẩm quá hạn.
哈,hā,laughter,hạ,ha/cười,哈哈。Ha ha.
海关,hǎi guān,customs,hải quan,hải quan,过海关。Qua hải quan.
海鲜,hǎi xiān,seafood,hải tiên,hải sản,吃海鲜。Ăn hải sản.
喊,hǎn,to yell,hãn,hét/kêu,大声喊。Hét to.
行业,háng yè,industry,hàng nghiệp,ngành/nghề,服务行业。Ngành dịch vụ.
豪华,háo huá,luxurious,hào hoa,sang trọng/xa hoa,豪华酒店。Khách sạn sang trọng.
好奇,hào qí,inquisitive,hiếu kỳ,tò mò/hiếu kỳ,很好奇。Rất tò mò.
和平,hé píng,peace,hoà bình,hoà bình,世界和平。Hoà bình thế giới.
何必,hé bì,there is no need,hà tất,cần gì/sao phải,何必这样？Sao phải như vậy?
何况,hé kuàng,let alone,hà huống,huống chi/huống gì,何况他？Huống chi anh ấy?
合法,hé fǎ,lawful,hợp pháp,hợp pháp,合法权益。Quyền lợi hợp pháp.
合理,hé lǐ,rational,hợp lý,hợp lý,很合理。Rất hợp lý.
合同,hé tong,contract,hợp đồng,hợp đồng,签合同。Ký hợp đồng.
合影,hé yǐng,joint photo,hợp ảnh,chụp hình chung,一起合影。Chụp hình chung.
合作,hé zuò,to cooperate,hợp tác,hợp tác,合作愉快。Hợp tác vui vẻ.
核心,hé xīn,core,hạch tâm,hạt nhân/cốt lõi,核心问题。Vấn đề cốt lõi.
恨,hèn,to hate,hận,ghét/hận,恨他。Ghét anh ta.
横,héng,horizontal,hoành,ngang,横线。Đường ngang.
后果,hòu guǒ,consequences,hậu quả,hậu quả,严重后果。Hậu quả nghiêm trọng.
忽视,hū shì,to neglect,hốt thị,phớt lờ/bỏ qua,不能忽视。Không thể bỏ qua.
呼吸,hū xī,to breathe,hô hấp,thở/hô hấp,深呼吸。Hít thở sâu.
壶,hú,pot,hồ,ấm/bình,茶壶。Ấm trà.
蝴蝶,hú dié,butterfly,hồ điệp,bướm,美丽蝴蝶。Con bướm đẹp.
胡说,hú shuō,to talk nonsense,hồ thuyết,nói bậy/nói linh tinh,别胡说。Đừng nói bậy.
胡同,hú tòng,alley,hồ đồng,ngõ hẻm,小胡同。Ngõ nhỏ.
胡须,hú xū,beard,hồ tu,râu,长胡须。Râu dài.
糊涂,hú tu,muddled,hồ đồ,lẫn lộn/mơ hồ,很糊涂。Rất lẫn lộn.
花生,huā shēng,peanut,hoa sinh,đậu phộng/lạc,吃花生。Ăn đậu phộng.
滑冰,huá bīng,to skate,hoạt băng,trượt băng,去滑冰。Đi trượt băng.
划船,huá chuán,to row a boat,hoạch thuyền,chèo thuyền,划船比赛。Thi chèo thuyền.
华裔,Huá yì,ethnic Chinese,hoa duệ,người gốc Hoa,华裔后代。Hậu duệ người Hoa.
化学,huà xué,chemistry,hoá học,hóa học,化学实验。Thí nghiệm hóa học.
话题,huà tí,subject,thoại đề,chủ đề/đề tài,聊天话题。Chủ đề trò chuyện.
怀念,huái niàn,to cherish memory,hoài niệm,hoài niệm/nhớ,怀念过去。Nhớ quá khứ.
缓解,huǎn jiě,to blunt,hoãn giải,giảm bớt/hoãn lại,缓解压力。Giảm áp lực.
幻想,huàn xiǎng,delusion,huyễn tưởng,ảo tưởng/tưởng tượng,美好幻想。Mơ tưởng đẹp.
慌张,huāng zhāng,confused,hoang trương,hoảng hốt/hoang mang,很慌张。Rất hoảng hốt.
黄瓜,huáng guā,cucumber,hoàng qua,dưa chuột,吃黄瓜。Ăn dưa chuột.
黄金,huáng jīn,gold,hoàng kim,vàng,黄金时代。Thời đại vàng.
皇帝,huáng dì,emperor,hoàng đế,hoàng đế,古代皇帝。Hoàng đế cổ đại.
皇后,huáng hòu,empress,hoàng hậu,hoàng hậu,皇后娘娘。Hoàng hậu.
灰,huī,ash,hôi,tro/xám,灰色。Màu xám.
灰尘,huī chén,dust,hôi trần,bụi,打扫灰尘。Quét bụi.
灰心,huī xīn,to lose heart,hôi tâm,nản lòng/chán nản,别灰心。Đừng nản lòng.
挥,huī,to wave,huy,vẫy/vung,挥手。Vẫy tay.
恢复,huī fù,to reinstate,khôi phục,khôi phục/phục hồi,恢复健康。Hồi phục sức khỏe.
汇率,huì lǜ,exchange rate,hối suất,tỷ giá hối đoái,汇率变化。Tỷ giá thay đổi.
婚礼,hūn lǐ,wedding ceremony,hôn lễ,hôn lễ/đám cưới,参加婚礼。Tham dự đám cưới.
婚姻,hūn yīn,matrimony,hôn nhân,hôn nhân,婚姻幸福。Hôn nhân hạnh phúc.
活跃,huó yuè,active,hoạt dược,sôi động/tích cực,气氛活跃。Không khí sôi động.
火柴,huǒ chái,match,hoả sài,diêm,点火柴。Đốt diêm.
伙伴,huǒ bàn,partner,hoả bạn,bạn đồng hành,好伙伴。Bạn đồng hành tốt.
基本,jī běn,basic,cơ bản,cơ bản,基本知识。Kiến thức cơ bản.
机器,jī qì,machine,cơ khí,máy móc,机器设备。Thiết bị máy móc.
激烈,jī liè,intense,kích liệt,gay gắt/kịch liệt,竞争激烈。Cạnh tranh gay gắt.
肌肉,jī ròu,muscle,cơ nhục,cơ bắp,练肌肉。Tập cơ bắp.
及格,jí gé,to pass a test,cập cách,đạt điểm/qua môn,考试及格。Thi đạt.
急忙,jí máng,hastily,cấp mang,vội vàng/gấp,急忙离开。Vội vàng rời đi.
集体,jí tǐ,collective,tập thể,tập thể,集体活动。Hoạt động tập thể.
集中,jí zhōng,to concentrate,tập trung,tập trung,集中精力。Tập trung tinh thần.
记录,jì lù,to record,kỷ lục,ghi chép/kỷ lục,打破记录。Phá kỷ lục.
记忆,jì yì,to remember,kỷ ức,trí nhớ/ký ức,美好记忆。Ký ức đẹp.
计算,jì suàn,to count,kế toán,tính toán,计算结果。Tính toán kết quả.
寂寞,jì mò,lonely,tịch mịch,cô đơn/tịch mịch,感到寂寞。Cảm thấy cô đơn.
系领带,jì lǐng dài,to tie necktie,hệ lĩnh đái,thắt cà vạt,系领带。Thắt cà vạt.
纪录,jì lù,record,kỷ lục,kỷ lục,创纪录。Lập kỷ lục.
纪律,jì lǜ,discipline,kỷ luật,kỷ luật,遵守纪律。Tuân thủ kỷ luật.
纪念,jì niàn,to commemorate,kỷ niệm,kỷ niệm,纪念日。Ngày kỷ niệm.
家庭,jiā tíng,family,gia đình,gia đình,幸福家庭。Gia đình hạnh phúc.
家务,jiā wù,household duties,gia vụ,việc nhà,做家务。Làm việc nhà.
家乡,jiā xiāng,hometown,gia hương,quê hương,回家乡。Về quê hương.
嘉宾,jiā bīn,esteemed guest,gia tân,khách quý/quý khách,欢迎嘉宾。Chào đón quý khách.
夹子,jiā zi,clip,giáp tử,kẹp,用夹子。Dùng kẹp.
甲,jiǎ,first of 10 heavenly,giáp,Giáp (can chi),甲乙丙丁。Giáp Ất Bính Đinh.
假如,jiǎ rú,if,giả như,giả như/nếu như,假如可以。Giả như được.
假装,jiǎ zhuāng,to feign,giả trang,giả vờ/giả bộ,假装不知道。Giả vờ không biết.
嫁,jià,to marry,giá,lấy chồng,嫁人。Lấy chồng.
价值,jià zhí,value,giá trị,giá trị,有价值。Có giá trị.
驾驶,jià shǐ,to pilot,giá sử,lái/điều khiển,驾驶汽车。Lái xe ô tô.
煎,jiān,to pan fry,tiên,chiên,煎鱼。Chiên cá.
肩膀,jiān bǎng,shoulder,kiên bảng,vai,拍肩膀。Vỗ vai.
坚决,jiān jué,firm,kiên quyết,kiên quyết/quyết đoán,态度坚决。Thái độ kiên quyết.
坚强,jiān qiáng,staunch,kiên cường,kiên cường/mạnh mẽ,意志坚强。Ý chí kiên cường.
尖锐,jiān ruì,sharp,tiêm nhuệ,sắc bén/gay gắt,问题尖锐。Câu hỏi gay gắt.
艰巨,jiān jù,arduous,gian cự,gian khổ/khó khăn,任务艰巨。Nhiệm vụ nặng nề.
艰苦,jiān kǔ,difficult,gian khổ,gian khổ/vất vả,生活艰苦。Cuộc sống gian khổ.
捡,jiǎn,to pick up,kiểm,nhặt,捡东西。Nhặt đồ.
剪刀,jiǎn dāo,scissors,tiễn đao,kéo,用剪刀。Dùng kéo.
简历,jiǎn lì,CV,giản lịch,sơ yếu lý lịch,个人简历。Sơ yếu lý lịch cá nhân.
简直,jiǎn zhí,simply,giản trực,đơn giản là/thật là,简直太好了。Thật là quá tuyệt.
健身房,jiàn shēn fáng,gym,kiện thân phòng,phòng tập gym,去健身房。Đi phòng tập.
建立,jiàn lì,to establish,kiến lập,thiết lập/thành lập,建立关系。Thiết lập quan hệ.
建设,jiàn shè,to build,kiến thiết,xây dựng,建设祖国。Xây dựng tổ quốc.
建议,jiàn yì,to propose,kiến nghị,đề nghị/kiến nghị,提建议。Đưa ra đề nghị.
建筑,jiàn zhù,to construct,kiến trúc,kiến trúc/xây dựng,建筑设计。Thiết kế kiến trúc.
键盘,jiàn pán,keyboard,kiện bàn,bàn phím,打键盘。Gõ bàn phím.
讲究,jiǎng jiu,pay attention to,giảng cứu,chú ý/cầu kỳ,很讲究。Rất cầu kỳ.
讲座,jiǎng zuò,lecture course,giảng toạ,bài giảng/diễn thuyết,听讲座。Nghe bài giảng.
降落,jiàng luò,to descend,giáng lạc,hạ cánh/rơi xuống,飞机降落。Máy bay hạ cánh.
酱油,jiàng yóu,soy sauce,tương dầu,nước tương,加酱油。Thêm nước tương.
浇,jiāo,to pour liquid,kiêu,tưới/rót,浇花。Tưới hoa.
交换,jiāo huàn,to exchange,giao hoán,trao đổi,交换礼物。Trao đổi quà.
交际,jiāo jì,communication,giao tế,giao tiếp,社交交际。Giao tiếp xã hội.
郊区,jiāo qū,suburban district,giao khu,ngoại ô,住郊区。Ở ngoại ô.
胶水,jiāo shuǐ,glue,giao thuỷ,keo dán,用胶水。Dùng keo.
角度,jiǎo dù,angle,giác độ,góc độ,不同角度。Góc độ khác nhau.
狡猾,jiǎo huá,crafty,giảo hoạt,xảo quyệt/láu cá,很狡猾。Rất xảo quyệt.
教材,jiào cái,teaching material,giáo tài,giáo trình/tài liệu,教学教材。Giáo trình giảng dạy.
教练,jiào liàn,instructor,giáo luyện,huấn luyện viên,足球教练。HLV bóng đá.
教训,jiào xun,lesson,giáo huấn,bài học/rút kinh nghiệm,吸取教训。Rút kinh nghiệm.
接触,jiē chù,to touch,tiếp xúc,tiếp xúc,接触社会。Tiếp xúc xã hội.
接待,jiē dài,to receive,tiếp đãi,tiếp đón/đón tiếp,接待客人。Tiếp đón khách.
接近,jiē jìn,to approach,tiếp cận,gần/tiếp cận,接近目标。Gần mục tiêu.
接着,jiē zhe,to catch,tiếp trước,tiếp theo/tiếp tục,接着说。Nói tiếp.
阶段,jiē duàn,stage,giai đoạn,giai đoạn,初级阶段。Giai đoạn sơ cấp.
结实,jiē shi,rugged,kiết thực,chắc/khỏe,身体结实。Cơ thể khỏe mạnh.
节,jié,festival,tiết,lễ/tiết,春节。Tết Nguyên Đán.
节省,jié shěng,saving,tiết tỉnh,tiết kiệm,节省时间。Tiết kiệm thời gian.
结构,jié gòu,structure,kiết cấu,kết cấu/cấu trúc,建筑结构。Kết cấu kiến trúc.
结合,jié hé,to combine,kiết hợp,kết hợp,理论结合实践。Lý thuyết kết hợp thực tế.
结论,jié lùn,conclusion,kiết luận,kết luận,得出结论。Đưa ra kết luận.
结账,jié zhàng,to pay the bill,kiết trướng,thanh toán/tính tiền,去结账。Đi thanh toán.
解放,jiě fàng,to liberate,giải phóng,giải phóng,解放思想。Giải phóng tư tưởng.
解说员,jiě shuō yuán,commentator,giải thuyết viên,người bình luận/thuyết minh,体育解说员。BLV thể thao.
届,jiè,arrive at time,giới,kỳ/khóa,第一届。Khóa thứ nhất.
借口,jiè kǒu,use as excuse,tá khẩu,lý do/cớ,找借口。Tìm cớ.
戒烟,jiè yān,give up smoking,giới yên,cai thuốc lá,决定戒烟。Quyết định bỏ thuốc.
戒指,jiè zhi,ring,giới chỉ,nhẫn,戴戒指。Đeo nhẫn.
金属,jīn shǔ,metal,kim thuộc,kim loại,金属材料。Vật liệu kim loại.
紧,jǐn,tight,khẩn,chặt/gấp,抓紧。Nắm chặt.
紧急,jǐn jí,urgent,khẩn cấp,khẩn cấp/gấp,紧急情况。Tình huống khẩn cấp.
尽量,jǐn liàng,as much as possible,tận lượng,cố gắng hết sức,尽量帮忙。Cố gắng giúp.
谨慎,jǐn shèn,cautious,cẩn thận,thận trọng/cẩn thận,小心谨慎。Thận trọng.
进步,jìn bù,progress,tiến bộ,tiến bộ,不断进步。Tiến bộ không ngừng.
进口,jìn kǒu,to import,tiến khẩu,nhập khẩu,进口商品。Hàng nhập khẩu.
近代,jìn dài,modern times,cận đại,cận đại/hiện đại,近代历史。Lịch sử cận đại.
尽力,jìn lì,strive hardest,tận lực,cố gắng hết mình,尽力而为。Cố gắng hết mình.
精力,jīng lì,energy,tinh lực,năng lượng/sức lực,充满精力。Đầy năng lượng.
经典,jīng diǎn,classics,kinh điển,kinh điển,经典作品。Tác phẩm kinh điển.
经营,jīng yíng,engage in business,kinh doanh,kinh doanh,经营管理。Kinh doanh quản lý.
景色,jǐng sè,scenery,cảnh sắc,phong cảnh,美丽景色。Phong cảnh đẹp.
敬爱,jìng ài,respect and love,kính ái,kính yêu,敬爱的老师。Thầy cô kính yêu.
酒吧,jiǔ bā,bar,tửu ba,quán bar,去酒吧。Đi bar.
救,jiù,to save,cứu,cứu/giải cứu,救人。Cứu người.
救护车,jiù hù chē,ambulance,cứu hộ xa,xe cứu thương,叫救护车。Gọi xe cứu thương.
舅舅,jiù jiu,mother's brother,cữu cữu,cậu (bác ruột),我舅舅。Cậu tôi.
居然,jū rán,unexpectedly,cư nhiên,thật bất ngờ/lẽ ra,居然成功。Thật bất ngờ thành công.
桔子,jú zi,tangerine,quất tử,quýt,吃桔子。Ăn quýt.
举,jǔ,to lift,cử,giơ/nâng,举手。Giơ tay.
具备,jù bèi,to possess,cụ bị,có đủ/đầy đủ,具备条件。Có đủ điều kiện.
具体,jù tǐ,concrete,cụ thể,cụ thể/rõ ràng,具体说明。Giải thích cụ thể.
巨大,jù dà,huge,cự đại,khổng lồ/to lớn,巨大变化。Thay đổi lớn.
聚会,jù huì,party,tụ hội,tụ họp/buổi tiệc,参加聚会。Tham gia tiệc tùng.
俱乐部,jù lè bù,club,câu lạc bộ,câu lạc bộ,足球俱乐部。Câu lạc bộ bóng đá.
据说,jù shuō,it is said,cứ thuyết,nghe nói/theo như,据说很好。Nghe nói rất tốt.
捐,juān,to contribute,quyên,quyên góp/đóng góp,捐款。Quyên góp tiền.
卷,juǎn,to roll up,quyển,cuốn/quấn,卷起来。Cuốn lại.
决赛,jué sài,finals,quyết tài,chung kết,进入决赛。Vào chung kết.
决心,jué xīn,determination,quyết tâm,quyết tâm,下决心。Quyết tâm.
绝对,jué duì,absolute,tuyệt đối,tuyệt đối,绝对正确。Tuyệt đối đúng.
角色,jué sè,role,giác sắc,vai trò/nhân vật,主要角色。Nhân vật chính.
军事,jūn shì,military affairs,quân sự,quân sự,军事力量。Lực lượng quân sự.
均匀,jūn yún,even,quân vân,đều/đồng đều,分布均匀。Phân bố đều.
卡车,kǎ chē,truck,kể xa,xe tải,开卡车。Lái xe tải.
开发,kāi fā,to exploit,khai phát,khai thác/phát triển,开发资源。Khai thác tài nguyên.
开放,kāi fàng,to bloom,khai phóng,mở cửa/nở hoa,改革开放。Cải cách mở cửa.
开幕式,kāi mù shì,opening ceremony,khai mạc thức,lễ khai mạc,举行开幕式。Tổ chức lễ khai mạc.
开心,kāi xīn,to feel happy,khai tâm,vui vẻ/vui,很开心。Rất vui.
砍,kǎn,to chop,khảm,chặt/đốn,砍树。Chặt cây.
看不起,kàn bu qǐ,look down upon,khán bất khởi,coi thường,看不起人。Coi thường người khác.
看来,kàn lai,apparently,khán lai,có vẻ/hình như,看来很难。Có vẻ khó.
抗议,kàng yì,to protest,kháng nghị,phản đối/kháng nghị,抗议活动。Hoạt động kháng nghị.
烤鸭,kǎo yā,roast duck,khảo áp,vịt quay,北京烤鸭。Vịt quay Bắc Kinh.
颗,kē,classifier spheres,khoả,quả/hạt/viên,一颗星。Một ngôi sao.
可见,kě jiàn,clearly seen,khả kiến,có thể thấy,可见一斑。Có thể thấy rõ.
可靠,kě kào,reliable,khả khảo,đáng tin cậy,很可靠。Rất đáng tin.
可怕,kě pà,awful,khả phạ,đáng sợ,太可怕。Quá đáng sợ.
刻苦,kè kǔ,hardworking,khắc khổ,chăm chỉ/siêng năng,刻苦学习。Học tập chăm chỉ.
课程,kè chéng,course,khoá trình,khóa học/môn học,学习课程。Khóa học.
克,kè,gram,khắc,gam/khắc phục,一克糖。Một gam đường.
克服,kè fú,overcome,khắc phục,khắc phục/vượt qua,克服困难。Khắc phục khó khăn.
客观,kè guān,objective,khách quan,khách quan,客观评价。Đánh giá khách quan.
客厅,kè tīng,drawing room,khách thính,phòng khách,在客厅。Trong phòng khách.
空间,kōng jiān,space,không gian,không gian,时间空间。Thời gian không gian.
恐怖,kǒng bù,terrible,khủng bố,khủng khiếp/khủng bố,恐怖分子。Phần tử khủng bố.
空闲,kòng xián,idle,không nhàn,rảnh rỗi,有空闲。Có rảnh.
控制,kòng zhì,control,khống chế,kiểm soát/khống chế,控制局面。Kiểm soát tình hình.
口味,kǒu wèi,preferences,khẩu vị,khẩu vị/sở thích,适合口味。Hợp khẩu vị.
夸,kuā,to boast,khoa,khen/khoe,夸奖。Khen ngợi.
会计,kuài jì,accountant,hội kế,kế toán,财务会计。Kế toán tài chính.
矿泉水,kuàng quán shuǐ,mineral water,khoáng tuyền thuỷ,nước khoáng,喝矿泉水。Uống nước khoáng.
辣椒,là jiāo,hot pepper,lạt tiêu,ớt,很辣的辣椒。Ớt rất cay.
蜡烛,là zhú,candle,lạp chúc,nến,点蜡烛。Thắp nến.
来自,lái zì,come from,lai tự,đến từ,来自北京。Đến từ Bắc Kinh.
拦,lán,to cut off,lan,chặn lại,拦住他。Chặn anh ấy lại.
烂,làn,soft,lạn,thối/mục nát,烂了。Thối rồi.
狼,láng,wolf,lang,sói,大灰狼。Con sói xám.
劳动,láo dòng,work,lao động,lao động,劳动人民。Nhân dân lao động.
劳驾,láo jià,excuse me,lao giá,xin lỗi/nhờ anh,劳驾让一下。Xin nhường chỗ.
老百姓,lǎo bǎi xìng,ordinary people,lão bách tánh,người dân/dân thường,普通老百姓。Dân thường.
老板,lǎo bǎn,boss,lão bản,ông chủ/sếp,公司老板。Chủ công ty.
老实,lǎo shí,honest,lão thực,thật thà/ngay thật,老实人。Người thật thà.
老鼠,lǎo shǔ,rat,lão thử,con chuột,抓老鼠。Bắt chuột.
姥姥,lǎo lao,mother's mother,lão lão,bà ngoại,我姥姥。Bà ngoại tôi.
乐观,lè guān,optimistic,lạc quan,lạc quan,很乐观。Rất lạc quan.
雷,léi,thunder,lôi,sấm,打雷。Sấm chớp.
类,lèi,kind,loại,loại/hạng,种类。Chủng loại.
梨,lí,pear,lê,quả lê,吃梨。Ăn lê.
离婚,lí hūn,to divorce,ly hôn,ly hôn,决定离婚。Quyết định ly hôn.
厘米,lí mǐ,centimeter,ly mễ,cm/xăng-ti-mét,一厘米。Một cm.
礼拜天,lǐ bài tiān,Sunday,lễ bái thiên,chủ nhật,今天礼拜天。Hôm nay chủ nhật.
理论,lǐ lùn,theory,lý luận,lý thuyết/lý luận,理论知识。Kiến thức lý thuyết.
理由,lǐ yóu,reason,lý do,lý do,充分理由。Lý do chính đáng.
粒,lì,grain,lạp,hạt/viên,一粒米。Một hạt gạo.
立方,lì fāng,cube,lập phương,khối/lập phương,立方米。Mét khối.
立即,lì jí,immediately,lập tức,lập tức/ngay lập tức,立即行动。Hành động ngay.
立刻,lì kè,forthwith,lập khắc,lập tức/ngay lập tức,立刻出发。Khởi hành ngay.
力量,lì liang,power,lực lượng,sức mạnh/lực lượng,强大力量。Sức mạnh mạnh mẽ.
利润,lì rùn,profits,lợi nhuận,lợi nhuận,获得利润。Thu được lợi nhuận.
利息,lì xī,interest,lợi tức,lãi suất/tiền lãi,银行利息。Lãi suất ngân hàng.
利益,lì yì,benefit,lợi ích,lợi ích,共同利益。Lợi ích chung.
利用,lì yòng,exploit,lợi dụng,lợi dụng/sử dụng,利用时间。Sử dụng thời gian.
连忙,lián máng,promptly,liên mang,vội vàng/lập tức,连忙道歉。Vội vàng xin lỗi.
连续剧,lián xù jù,serialized drama,liên tục kịch,phim dài tập/phim truyền hình,看连续剧。Xem phim dài tập.
联合,lián hé,to combine,liên hợp,liên hợp/kết hợp,联合国。Liên hợp quốc.
恋爱,liàn ài,romantic love,luyến ái,yêu đương,谈恋爱。Yêu đương.
